City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hours),Snow inches (last 3 hours)
223,Kirkuk,IQ,11/4/2019 8:03,35.47,44.4,73.45,24,0,6.8,clear sky,0,0
224,Ucluelet,CA,11/4/2019 8:03,48.94,-125.55,48,93,21,2.19,few clouds,0,0
225,Tocopilla,CL,11/4/2019 8:03,-22.09,-70.2,50.27,32,0,3.33,clear sky,0,0
226,Cancun,MX,11/4/2019 8:02,21.17,-86.85,78.8,100,40,2.24,scattered clouds,0,0
227,Mahebourg,MU,11/4/2019 8:01,-20.41,57.7,80.6,69,40,18.34,scattered clouds,0,0
228,Upata,VE,11/4/2019 8:03,8.02,-62.41,77,90,24,1.99,few clouds,0,0
229,Karwar,IN,11/4/2019 8:03,14.8,74.13,83.08,73,0,9.15,clear sky,0,0
230,Saint George,GR,11/4/2019 8:03,39.45,22.34,71.6,68,40,8.05,scattered clouds,0,0
231,Codrington,AU,11/4/2019 8:03,-28.95,153.24,93.2,45,40,8.05,scattered clouds,0,0
232,Muskogee,US,11/4/2019 8:03,35.75,-95.37,50,75,1,5.82,clear sky,0,0
233,Na Wa,TH,11/4/2019 8:03,17.49,104.1,86,51,75,6.93,broken clouds,0,0
234,Holme,DK,11/4/2019 8:03,56.11,10.17,50,100,100,16.11,light rain,0,0
235,Khakhea,BW,11/4/2019 8:03,-24.69,23.5,93.52,11,0,7.96,clear sky,0,0
236,Hambantota,LK,11/4/2019 8:03,6.12,81.12,87.8,70,75,4.7,broken clouds,0,0
237,Springbok,ZA,11/4/2019 8:01,-29.67,17.88,82.4,9,0,8.05,clear sky,0,0
238,Shasta Lake,US,11/4/2019 8:03,40.68,-122.36,52,37,1,2.15,clear sky,0,0
239,Tepalcatepec,MX,11/4/2019 8:03,19.19,-102.85,63.77,79,100,3.65,overcast clouds,0,0
240,Sehithwa,BW,11/4/2019 8:03,-20.47,22.7,93.51,24,0,9.22,clear sky,0,0
241,Udachnyy,RU,11/4/2019 8:03,66.42,112.4,-9.41,76,75,4.47,broken clouds,0,0
242,Santa Cruz,BR,11/4/2019 8:03,-6.22,-36.02,71.67,89,79,7.4,broken clouds,0,0
243,Kenai,US,11/4/2019 8:03,60.55,-151.26,37,70,90,5.82,overcast clouds,0,0
244,Evensk,RU,11/4/2019 8:03,61.92,159.24,27.03,79,97,11.18,overcast clouds,0,0
245,Banda Aceh,ID,11/4/2019 8:00,5.56,95.32,85.86,62,66,1.41,light rain,0.5,0
246,Beloha,MG,11/4/2019 8:03,-25.17,45.06,97.95,17,8,11.27,clear sky,0,0
247,Waingapu,ID,11/4/2019 8:03,-9.65,120.26,82.96,71,61,15.23,broken clouds,0,0
248,Dongzhen,CN,11/4/2019 8:03,43.33,129.73,31.64,49,0,1.97,clear sky,0,0
249,Celestun,MX,11/4/2019 8:03,20.87,-90.4,79.39,82,82,15.41,broken clouds,0,0
